image_nr,image_name,file_path,cr,concept,category_label,CR,CR_pcntile,cr_rank,filename
5260,clothespin_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/clothespin/clothespin_09s.jpg,0.875,clothespin,NA,0.843673018,95.34555712270803,2,clothespin_2.jpg
5325,coaster_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/coaster/coaster_08s.jpg,0.8,coaster,home decor,0.817419876,80.74753173483779,1,coaster_2.jpg
5334,coaster_17s.jpg,/home/jovyan/projects/generate-sequences/THINGS/coaster/coaster_17s.jpg,0.820512821,coaster,home decor,0.817419876,80.74753173483779,2,coaster_1.jpg
7061,dip_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/dip/dip_08s.jpg,0.928571429,dip,food,0.863979627,99.50634696755995,1,dip_1.jpg
7062,dip_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/dip/dip_09s.jpg,0.897435897,dip,food,0.863979627,99.50634696755995,2,dip_2.jpg
7145,diskette_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/diskette/diskette_07s.jpg,0.87804878,diskette,NA,0.838247859,93.30042313117066,2,diskette_2.jpg
7147,diskette_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/diskette/diskette_09s.jpg,0.829268293,diskette,NA,0.838247859,93.30042313117066,1,diskette_1.jpg
7280,domino_06s.jpg,/home/jovyan/projects/generate-sequences/THINGS/domino/domino_06s.jpg,0.904761905,domino,NA,0.842834015,95.13399153737659,1,domino_2.jpg
7291,domino_17s.jpg,/home/jovyan/projects/generate-sequences/THINGS/domino/domino_17s.jpg,0.9,domino,NA,0.842834015,95.13399153737659,2,domino_1.jpg
7437,doorstop_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/doorstop/doorstop_07s.jpg,0.75,doorstop,NA,0.843292849,95.27503526093088,2,doorstop_1.jpg
7440,doorstop_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/doorstop/doorstop_10s.jpg,0.976744186,doorstop,NA,0.843292849,95.27503526093088,1,doorstop_2.jpg
7715,dumbbell_13s.jpg,/home/jovyan/projects/generate-sequences/THINGS/dumbbell/dumbbell_13s.jpg,0.731707317,dumbbell,sports equipment,0.83341348,91.25528913963329,1,dumbbell_1.jpg
7718,dumbbell_16s.jpg,/home/jovyan/projects/generate-sequences/THINGS/dumbbell/dumbbell_16s.jpg,0.804878049,dumbbell,sports equipment,0.83341348,91.25528913963329,2,dumbbell_2.jpg
8108,eraser_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/eraser/eraser_02s.jpg,0.846153846,eraser,office supply,0.853934516,97.74330042313117,1,eraser_1.jpg
8113,eraser_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/eraser/eraser_07s.jpg,0.825,eraser,office supply,0.853934516,97.74330042313117,2,eraser_2.jpg
8224,eyeliner_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/eyeliner/eyeliner_05s.jpg,0.875,eyeliner,NA,0.86660351,99.71791255289139,1,eyeliner_1.jpg
8225,eyeliner_06s.jpg,/home/jovyan/projects/generate-sequences/THINGS/eyeliner/eyeliner_06s.jpg,0.853658537,eyeliner,NA,0.86660351,99.71791255289139,2,eyeliner_2.jpg
8469,filing_cabinet_03s.jpg,/home/jovyan/projects/generate-sequences/THINGS/filing_cabinet/filing_cabinet_03s.jpg,0.875,filing_cabinet,container,0.861697375,98.94217207334273,2,filing_cabinet_2.jpg
8471,filing_cabinet_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/filing_cabinet/filing_cabinet_05s.jpg,0.906976744,filing_cabinet,container,0.861697375,98.94217207334273,1,filing_cabinet_1.jpg
8889,flipper_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/flipper/flipper_01b.jpg,0.948717949,flipper,sports equipment,0.832937925,90.90267983074753,1,flipper_1.jpg
8892,flipper_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/flipper/flipper_04s.jpg,0.813953488,flipper,sports equipment,0.832937925,90.90267983074753,2,flipper_2.jpg
9116,footbath_01s.jpg,/home/jovyan/projects/generate-sequences/THINGS/footbath/footbath_01s.jpg,0.975609756,footbath,container,0.819700393,82.86318758815233,1,footbath_1.jpg
9124,footbath_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/footbath/footbath_09s.jpg,0.857142857,footbath,container,0.819700393,82.86318758815233,2,footbath_2.jpg
9128,footprint_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/footprint/footprint_01b.jpg,0.976190476,footprint,NA,0.856509186,98.37799717912553,1,footprint_1.jpg
9132,footprint_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/footprint/footprint_05s.jpg,0.87804878,footprint,NA,0.856509186,98.37799717912553,2,footprint_2.jpg
9258,french_horn_01s.jpg,/home/jovyan/projects/generate-sequences/THINGS/french_horn/french_horn_01s.jpg,0.804878049,french_horn,musical instrument,0.836052161,92.17207334273625,2,french_horn_1.jpg
9266,french_horn_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/french_horn/french_horn_09s.jpg,0.894736842,french_horn,musical instrument,0.836052161,92.17207334273625,1,french_horn_2.jpg
9321,fudge_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/fudge/fudge_01b.jpg,0.789473684,fudge,dessert,0.860074806,98.80112834978844,2,fudge_2.jpg
9333,fudge_13s.jpg,/home/jovyan/projects/generate-sequences/THINGS/fudge/fudge_13s.jpg,0.825,fudge,dessert,0.860074806,98.80112834978844,1,fudge_1.jpg
9664,gingerbread_man_06s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gingerbread_man/gingerbread_man_06s.jpg,0.804878049,gingerbread_man,food,0.855210083,98.02538787023978,1,gingerbread_man_1.jpg
9665,gingerbread_man_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gingerbread_man/gingerbread_man_07s.jpg,0.87804878,gingerbread_man,food,0.855210083,98.02538787023978,2,gingerbread_man_2.jpg
9842,gold_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gold/gold_02s.jpg,0.95,gold,NA,0.840740819,94.07616361071932,2,gold_2.jpg
9851,gold_11s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gold/gold_11s.jpg,0.658536585,gold,NA,0.840740819,94.07616361071932,1,gold_1.jpg
9965,gorilla_15s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gorilla/gorilla_15s.jpg,0.951219512,gorilla,animal,0.861943427,99.08321579689704,2,gorilla_1.jpg
9967,gorilla_17s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gorilla/gorilla_17s.jpg,0.810810811,gorilla,animal,0.861943427,99.08321579689704,1,gorilla_2.jpg
10171,grater_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/grater/grater_01b.jpg,0.825,grater,kitchen tool,0.86292565,99.15373765867419,2,grater_2.jpg
10180,grater_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/grater/grater_10s.jpg,0.880952381,grater,kitchen tool,0.86292565,99.15373765867419,1,grater_1.jpg
10408,gum_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gum/gum_10s.jpg,0.794871795,gum,food,0.849401756,96.96755994358251,1,gum_2.jpg
10410,gum_12s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gum/gum_12s.jpg,0.829268293,gum,food,0.849401756,96.96755994358251,2,gum_1.jpg
10424,gumdrop_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gumdrop/gumdrop_02s.jpg,0.951219512,gumdrop,food,0.869001774,99.8589562764457,2,gumdrop_1.jpg
10425,gumdrop_03s.jpg,/home/jovyan/projects/generate-sequences/THINGS/gumdrop/gumdrop_03s.jpg,0.904761905,gumdrop,food,0.869001774,99.8589562764457,1,gumdrop_2.jpg
10760,hanger_03s.jpg,/home/jovyan/projects/generate-sequences/THINGS/hanger/hanger_03s.jpg,0.829268293,hanger,NA,0.838559268,93.44146685472496,2,hanger_2.jpg
10761,hanger_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/hanger/hanger_04s.jpg,0.80952381,hanger,NA,0.838559268,93.44146685472496,1,hanger_1.jpg
11487,hot-water_bottle_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/hot-water_bottle/hot-water_bottle_02s.jpg,0.9,hot-water_bottle,container,0.832388369,90.62059238363894,1,hot-water_bottle_2.jpg
11488,hot-water_bottle_03s.jpg,/home/jovyan/projects/generate-sequences/THINGS/hot-water_bottle/hot-water_bottle_03s.jpg,0.846153846,hot-water_bottle,container,0.832388369,90.62059238363894,2,hot-water_bottle_1.jpg
11742,ice_pack_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/ice_pack/ice_pack_04s.jpg,0.85,ice_pack,dessert,0.863070517,99.29478138222849,1,ice_pack_1.jpg
11748,ice_pack_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/ice_pack/ice_pack_10s.jpg,0.756097561,ice_pack,dessert,0.863070517,99.29478138222849,2,ice_pack_2.jpg
12186,jigsaw_puzzle_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/jigsaw_puzzle/jigsaw_puzzle_01b.jpg,0.894736842,jigsaw_puzzle,NA,0.84447341,95.48660084626233,2,jigsaw_puzzle_2.jpg
12189,jigsaw_puzzle_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/jigsaw_puzzle/jigsaw_puzzle_04s.jpg,0.85,jigsaw_puzzle,NA,0.84447341,95.48660084626233,1,jigsaw_puzzle_1.jpg
12246,juicer1_06s.jpg,/home/jovyan/projects/generate-sequences/THINGS/juicer1/juicer1_06s.jpg,0.775,juicer1,kitchen tool,0.85933239,98.73060648801129,1,juicer1_1.jpg
12248,juicer1_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/juicer1/juicer1_08s.jpg,0.880952381,juicer1,kitchen tool,0.85933239,98.73060648801129,2,juicer1_2.jpg
12538,kitten_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/kitten/kitten_01b.jpg,0.829268293,kitten,animal,0.842386073,94.85190409026798,2,kitten_2.jpg
12545,kitten_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/kitten/kitten_08s.jpg,0.75,kitten,animal,0.842386073,94.85190409026798,1,kitten_1.jpg
12582,kneepad_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/kneepad/kneepad_08s.jpg,0.789473684,kneepad,sports equipment,0.85666596,98.44851904090268,1,kneepad_2.jpg
12584,kneepad_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/kneepad/kneepad_10s.jpg,0.926829268,kneepad,sports equipment,0.85666596,98.44851904090268,2,kneepad_1.jpg
12911,latte_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/latte/latte_04s.jpg,0.926829268,latte,drink,0.861775465,99.01269393511988,2,latte_1.jpg
12919,latte_12s.jpg,/home/jovyan/projects/generate-sequences/THINGS/latte/latte_12s.jpg,0.825,latte,drink,0.861775465,99.01269393511988,1,latte_2.jpg
12944,lavender_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/lavender/lavender_01b.jpg,0.9,lavender,plant,0.786570831,50.0,1,lavender_2.jpg
12945,lavender_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/lavender/lavender_02s.jpg,0.875,lavender,plant,0.786570831,50.0,2,lavender_1.jpg
13070,lego_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/lego/lego_04s.jpg,0.947368421,lego,toy,0.864197525,99.5768688293371,2,lego_2.jpg
13071,lego_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/lego/lego_05s.jpg,0.952380952,lego,toy,0.864197525,99.5768688293371,1,lego_1.jpg
13305,limousine_01s.jpg,/home/jovyan/projects/generate-sequences/THINGS/limousine/limousine_01s.jpg,0.775,limousine,vehicle,0.83129675,90.05641748942172,2,limousine_2.jpg
13318,limousine_14s.jpg,/home/jovyan/projects/generate-sequences/THINGS/limousine/limousine_14s.jpg,0.825,limousine,vehicle,0.83129675,90.05641748942172,1,limousine_1.jpg
13587,macaroni_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/macaroni/macaroni_02s.jpg,0.780487805,macaroni,food,0.868246821,99.78843441466854,1,macaroni_2.jpg
13600,macaroni_15s.jpg,/home/jovyan/projects/generate-sequences/THINGS/macaroni/macaroni_15s.jpg,0.820512821,macaroni,food,0.868246821,99.78843441466854,2,macaroni_1.jpg
13641,magnet_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/magnet/magnet_04s.jpg,0.804878049,magnet,tool,0.842098549,94.71086036671367,1,magnet_2.jpg
13642,magnet_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/magnet/magnet_05s.jpg,0.85,magnet,tool,0.842098549,94.71086036671367,2,magnet_1.jpg
13910,marker_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/marker/marker_02s.jpg,0.857142857,marker,tool,0.855730899,98.16643159379407,1,marker_1.jpg
13915,marker_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/marker/marker_07s.jpg,0.894736842,marker,tool,0.855730899,98.16643159379407,2,marker_2.jpg
14034,matchbox_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/matchbox/matchbox_02s.jpg,0.87804878,matchbox,container,0.815115164,78.63187588152327,2,matchbox_1.jpg
14042,matchbox_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/matchbox/matchbox_10s.jpg,0.818181818,matchbox,container,0.815115164,78.63187588152327,1,matchbox_2.jpg
14923,nail_clippers_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/nail_clippers/nail_clippers_05s.jpg,0.780487805,nail_clippers,tool,0.839851048,93.72355430183357,2,nail_clippers_2.jpg
14925,nail_clippers_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/nail_clippers/nail_clippers_07s.jpg,0.857142857,nail_clippers,tool,0.839851048,93.72355430183357,1,nail_clippers_1.jpg
14947,nail_polish_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/nail_polish/nail_polish_01b.jpg,0.952380952,nail_polish,NA,0.848347905,96.6854724964739,1,nail_polish_1.jpg
14953,nail_polish_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/nail_polish/nail_polish_07s.jpg,0.733333333,nail_polish,NA,0.848347905,96.6854724964739,2,nail_polish_2.jpg
15752,panther_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/panther/panther_01b.jpg,0.975,panther,animal,0.860598462,98.8716502115656,1,panther_1.jpg
15765,panther_14s.jpg,/home/jovyan/projects/generate-sequences/THINGS/panther/panther_14s.jpg,0.904761905,panther,animal,0.860598462,98.8716502115656,2,panther_2.jpg
16416,peppermint_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/peppermint/peppermint_10s.jpg,0.775,peppermint,food,0.863024501,99.22425952045134,1,peppermint_2.jpg
16418,peppermint_12s.jpg,/home/jovyan/projects/generate-sequences/THINGS/peppermint/peppermint_12s.jpg,0.875,peppermint,food,0.863024501,99.22425952045134,2,peppermint_1.jpg
16665,pig_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/pig/pig_05s.jpg,0.829268293,pig,animal,0.85396565,97.81382228490833,1,pig_2.jpg
16667,pig_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/pig/pig_07s.jpg,0.825,pig,animal,0.85396565,97.81382228490833,2,pig_1.jpg
16764,pin_11s.jpg,/home/jovyan/projects/generate-sequences/THINGS/pin/pin_11s.jpg,0.825,pin,tool,0.849513385,97.10860366713682,1,pin_1.jpg
16769,pin_16s.jpg,/home/jovyan/projects/generate-sequences/THINGS/pin/pin_16s.jpg,0.923076923,pin,tool,0.849513385,97.10860366713682,2,pin_2.jpg
17057,playing_card_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/playing_card/playing_card_07s.jpg,0.926829268,playing_card,NA,0.85388874,97.67277856135402,2,playing_card_2.jpg
17059,playing_card_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/playing_card/playing_card_09s.jpg,0.88372093,playing_card,NA,0.85388874,97.67277856135402,1,playing_card_1.jpg
17441,popsicle_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/popsicle/popsicle_01b.jpg,0.76744186,popsicle,dessert,0.847645599,96.54442877291962,2,popsicle_1.jpg
17452,popsicle_12s.jpg,/home/jovyan/projects/generate-sequences/THINGS/popsicle/popsicle_12s.jpg,0.925,popsicle,dessert,0.847645599,96.54442877291962,1,popsicle_2.jpg
17522,potato_05n.jpg,/home/jovyan/projects/generate-sequences/THINGS/potato/potato_05n.jpg,0.825,potato,food,0.855930326,98.23695345557122,2,potato_1.jpg
17528,potato_11s.jpg,/home/jovyan/projects/generate-sequences/THINGS/potato/potato_11s.jpg,0.80952381,potato,food,0.855930326,98.23695345557122,1,potato_2.jpg
17789,pug_03s.jpg,/home/jovyan/projects/generate-sequences/THINGS/pug/pug_03s.jpg,0.857142857,pug,animal,0.852872401,97.60225669957687,2,pug_2.jpg
17797,pug_11s.jpg,/home/jovyan/projects/generate-sequences/THINGS/pug/pug_11s.jpg,0.825,pug,animal,0.852872401,97.60225669957687,1,pug_1.jpg
18522,refrigerator_06s.jpg,/home/jovyan/projects/generate-sequences/THINGS/refrigerator/refrigerator_06s.jpg,0.829268293,refrigerator,electronic device,0.819333087,82.51057827926658,2,refrigerator_2.jpg
18526,refrigerator_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/refrigerator/refrigerator_10s.jpg,0.8,refrigerator,electronic device,0.819333087,82.51057827926658,1,refrigerator_1.jpg
18607,rhinoceros_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/rhinoceros/rhinoceros_02s.jpg,0.804878049,rhinoceros,animal,0.855465656,98.09590973201693,1,rhinoceros_2.jpg
